event_nr,position,runner,agegroup,gender,club,time,age_grade,no_runs,no_volunteered
12,5,d6f5e4c2dbf69c30471f6f5ebfe5240447f9dc76b13be928fe3e9e835a81b889,SM20-24,Männlich,,19:54,65.49,1,0
12,6,4f26934de39169306fd5e4c0ec1ae80ea74d7220e1802d02fa910011ec8b7dfc,VM45-49,Männlich,,21:53,66.87,7,26
12,7,a2791ea4c881a3202182856f54298cf8008ad9e0b54137b1c55fe552467771dc,SM25-29,Männlich,,22:23,57.63,26,13
12,8,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,22:30,66.59,105,13
12,9,2180770f6a1089fc0cdab38297976ff564342098dd0d259a8b72b96b6a6a3860,VM55-59,Männlich,,23:05,66.57,77,28
12,10,e40883def69cfcf12777d84346578e519e08dd85f8fb3b83a19667791934c990,SM25-29,Männlich,,23:53,54.01,19,1
12,11,3e93c348301e4fb97a4448209a561cc4b42d185d3df990f4ff51632eb8964ee1,VM65-69,Männlich,,24:20,71.64,138,137
12,12,fe6b217580afdfb420a63b143fd3be1fd0658ea8945c5ed3cddfc98cd544562d,SM25-29,Männlich,,25:19,50.95,21,9
12,13,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,25:26,61.47,115,8
12,14,fb3bfa7e79b12c097165a756f1d8cddca679cb51cfa7dab1a21ff89b78e66569,JM15-17,Männlich,,25:50,52.26,117,2
12,15,94991abe86716d03fea3cc0e604cdb68e9f0a0e706b0c8c9c18f57692ede1661,SF30-34,Weiblich,San Francisco Road Runners Club,26:24,56.31,33,3
12,16,91e2e39af44401228452e10420db2f339126c69d3737a6f0ec0e72989606cc48,VF35-39,Weiblich,werunthiscologne,26:46,56.23,27,53
12,17,99260bbe361b79d8588723502b20d353a5811ff17e036ce3c6c6d7fa09232507,SM30-34,Männlich,,27:33,47.61,1,0
12,18,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:36,71.26,65,11
12,19,e4db1ff28f6dae53f880ce400f4e9a1723efe0f1ef50a020951f723d4d74ed65,SF25-29,Weiblich,,27:37,53.59,1,0
12,20,0f8c7fcf36176f617f21849d9469a34a3fca28c52e524815fe8b2cc079f187cc,SF25-29,Weiblich,,27:38,53.56,3,1
12,21,de404fd142e59f1a244240487bf1f97b576c3df879439a626c52ce646e943442,SF25-29,Weiblich,,27:41,53.46,8,0
12,22,d0f45807058d4db535e1e60601f706ae77c04e4d569a6b679718471b0a3a6bbb,VM55-59,Männlich,,27:45,55.86,79,4
12,23,3a629d33ad964ff2183a57725f4da757840e269d1eb6ed106b35f09f8dde5991,VF40-44,Weiblich,,30:31,50.41,13,0
12,24,8896ecf3a81ba1c55964ba17bf62c1d7651c7527da084bcb94451df7b8fd82af,JW11-14,Weiblich,,31:31,52.78,8,1
12,25,7bf89a07b3be1921e7e5efaa7d43b6a739a5ca72ff3ceda551484ed99add220c,JW10,Weiblich,,31:44,57.09,12,4
12,26,1e719eef203bb2111c1b27aacf78e2531cba76c1d66a762ae8ab7aeb03f5e201,VM40-44,Männlich,,31:45,43.99,17,6
12,27,765f889c200ca1111f36ecdd924a0732796af591c43e959b91ba3675b9a25a22,SF30-34,Weiblich,,31:48,46.75,4,0
12,28,dffb61daf983fde3c0d0f57b5aea9f67dc25c86ec654d10ae2f523fbee18feef,VM70-74,Männlich,,35:26,51.03,1,0
