date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2022-12-03,cc6e363d89a35360b21a4fbaff243ef5d2768749bca7a1f8144cb9fe5570cfe0,24:50,75d6a5838e03a6dc3721ba19fa2429b68a007066b9808b5bd19e4d03d3abd4ae,18:45,19,5,69
2022-11-26,0dbc2ac989e72b95a86e17fd82ff00f6aca5440ec515e646bee9e9737925e4af,27:05,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,21:30,15,8,68
2022-11-19,d8211851d85a79e8c71230d55251e22314433cee3593ff4eef0cad47d11a85d9,28:17,23adface32699cfb02630f2c40e1cf2625d2764c12c64afd95f40a97cd81636c,19:22,13,7,67
2022-11-12,6a93911376a4e3b5eccc40a19111680f756d5a883f4a3e00476ae9a4fdcec1e5,22:10,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,20:12,15,6,66
2022-11-05,d399a7d49998e01cf290dc9248814f6790d21e60ee9a7103227c64ad20ad52e9,24:54,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,21:17,18,8,65
2022-10-29,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,21:45,3e135d9a04f9102ba6c23e9ed674d87c029128323c71b7f173cb59420568d511,21:45,15,5,64
2022-10-22,236802d5139308cf2221efe0f014a007548631a12e60e81492f1eb28209ec277,27:20,23adface32699cfb02630f2c40e1cf2625d2764c12c64afd95f40a97cd81636c,20:49,23,8,63
2022-10-15,ed1ca0b6a374e7390ece3c72dbd80048e086a6662cb72d9525f037f52ade457b,26:53,895f3bfbf961af64aa83c0e83f789d6daedc6f60fba9979444ef89c9da38a5fc,21:38,16,8,62
2022-10-08,fc3f361949d62fe04ccf628fa5d3527c0d1afabba90604264d91ae8eec81c3d9,24:25,f564f3f7295f5d1e3f65774cf22aa4bb2c237428808f6aec0e0ff6960882e130,18:15,24,7,61
2022-10-01,11736bada5de0bdba1157fc7099a72a886633e0812df743bc5074eede97bed05,26:24,8d2d63885418df28930359e74e4bfe4d68f446193ab80d415d6576cca1cc26c6,21:08,21,7,60
2022-09-24,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:32,df833707e4d2a1726118d945931ef648786d3bfabfe563ab2b4dadd2b6537ede,21:54,13,6,59
2022-09-17,927a316fd436203c93a41465d447bf90f74c1b6167ec51eaa36546373dc6c8e8,23:24,75d6a5838e03a6dc3721ba19fa2429b68a007066b9808b5bd19e4d03d3abd4ae,19:17,15,6,58
2022-09-10,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:24,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:20,25,6,57
2022-09-03,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,22:46,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:46,27,9,56
2022-08-27,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,20:37,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:36,27,8,55
2022-08-20,fc6f196ecbafd7536e418c9830c1d8c3f93aaf6b4b6012e382ad5c4beff89aa6,26:22,e8ac581b755200f7d6fe1270414728cd9f2b73e5ad6e71773951f31a5bc92dec,18:48,23,9,54
2022-08-13,45b7e72bb81af38994d8ab15144fd3d315c0f140b5a6da40962b7c82295011aa,27:12,4828676b8f38501c1aebc50eac37336f15a37d1ce5267e9e9a5875491767894b,18:17,20,8,53
2022-08-06,563fef2f9b5168b9c530a9566c64eb5e4440c5e2721a7e337edbc38180175f8a,20:51,d59008e46fecb267d4ff0948976dba547552da4e6156e88317a45d204e4bab22,18:23,29,8,52
2022-07-30,aeeb339f67ed1a996cf20195bde84130af8bc8e1e58996cfba8fae1af929fb64,26:44,2ac4abf48db583635ba4821f173458231a627aa358965edba7de0fb21e366c5d,21:42,15,5,51
2022-07-23,036495d734cc5f5d942fba6c32dbd311e049be544638cc4f0008439d47852222,24:24,c9f147ee25c932542ba2ef174d4058cbf7e319be37f4aa7726aa5acd1ad61405,19:14,21,9,50
2022-07-16,6b31e817815bbaf24fcab4ea35542cb1d1216f2913bb79748f4c22d78a764318,27:57,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,20:51,9,6,49
2022-07-09,fc5de0984acfbe26d5259a08e4e058f31c41d2f9d748a40c2d3a6e324f1b6b1b,23:59,fcaa2f35e62212c9b32395154af16260b4a730efdac3db2cfc699fcecfce7d02,19:40,20,9,48
2022-07-02,fa38937659cd67e942ffb54ca035ea95644deea1adaee62df30b8bfa029b4059,22:40,6135ff90c61933fa4147910d4356c0e754cb7f7a538d9aa5e95e04786d871183,20:32,14,8,47
2022-06-25,488eca2ce8cffb8bea3ac01ec02d8b4292c3501d1616080d54a866c83efbfa28,24:10,45c1801241fe2d963f73f21546fc8dc6d10af9ec228862eebe09e4b7331d16e7,18:05,16,6,46
2022-06-18,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,23:25,3e135d9a04f9102ba6c23e9ed674d87c029128323c71b7f173cb59420568d511,23:26,24,6,45
2022-06-11,fc5de0984acfbe26d5259a08e4e058f31c41d2f9d748a40c2d3a6e324f1b6b1b,24:54,133888a52f23d369587d5ade338ac5fbf1d78f04a058f0acfb8954ac56d7fb19,19:34,25,6,44
2022-06-04,2a41bfb8e85a97180984b30fdcba345c41e1162cef70b8c714c00c9a433d0399,23:48,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:23,20,7,43
2022-05-28,ed1ca0b6a374e7390ece3c72dbd80048e086a6662cb72d9525f037f52ade457b,26:40,25262c085855c7f58e785287ad1e16a133fdb25dab9aabb76d6f4a496ea9add3,18:41,28,10,42
2022-05-21,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,24:54,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:11,23,7,41
2022-05-14,34f97ab673261d23160ff7a189ccf5527cff1364e130355c26e6517ed205cb72,23:48,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:15,32,8,40
2022-05-07,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,23:04,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,18:52,20,7,39
